dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
cancer,Random,7816,0.0006127357482910156,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,4.0,14.0
cancer,Random,3578,0.00021791458129882812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
cancer,Random,2656,0.00020647048950195312,4,0.25,0.75,0.1667,0.75,0.75,0.75,2.0,3.0,13.0
cancer,Random,2688,0.00020623207092285156,4,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,6.0,11.0
cancer,Random,2494,0.00020575523376464844,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,9.0,14.0
cancer,Random,183,0.00020575523376464844,4,1.0,0.0,0.6667,0.0,0.0,,6.0,15.0,20.0
cancer,Random,7977,0.00020003318786621094,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
cancer,Random,3199,0.0002110004425048828,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,5.0,10.0
cancer,Random,316,0.00021123886108398438,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
cancer,Random,8266,0.00020384788513183594,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,14.0,19.0
cancer,Random,1532,0.0002040863037109375,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,13.0,13.0
cancer,Random,1009,0.00020647048950195312,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,13.0,13.0
cancer,Random,2250,0.00020384788513183594,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,11.0
cancer,Random,4447,0.00020837783813476562,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,12.0
cancer,Random,2415,0.000202178955078125,4,1.0,0.0,0.6667,0.0,0.0,,7.0,13.0,18.0
cancer,Random,3595,0.0001990795135498047,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
cancer,Random,4187,0.00020384788513183594,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,16.0
cancer,Random,4135,0.00020360946655273438,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,5.0,15.0
cancer,Random,5174,0.00020813941955566406,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,5.0,15.0
cancer,Random,5303,0.0002124309539794922,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,7.0
cancer,Random,3942,0.0002067089080810547,4,1.0,0.0,0.6667,0.0,0.0,,8.0,12.0,17.0
cancer,Random,2778,0.00020432472229003906,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,6.0,10.0
cancer,Random,2804,0.00020384788513183594,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,12.0
cancer,Random,2145,0.0002155303955078125,4,1.0,0.0,0.6667,0.0,0.0,,6.0,10.0,10.0
cancer,Random,150,0.00020360946655273438,4,0.5,0.5,0.3333,0.25,0.25,0.25,6.0,4.0,9.0
cancer,Random,8823,0.00020265579223632812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
cancer,Random,4669,0.0002033710479736328,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,8.0,13.0
cancer,Random,6131,0.00020623207092285156,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,8.0,13.0
cancer,Random,2617,0.00020956993103027344,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,8.0,14.0
cancer,Random,7166,0.00018167495727539062,4,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,6.0,11.0
cancer,Random,1428,0.00018358230590820312,4,1.0,0.0,0.6667,0.0,0.0,,6.0,11.0,16.0
cancer,Random,8328,0.0001842975616455078,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,13.0
cancer,Random,8289,0.00018405914306640625,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,9.0,19.0
cancer,Random,5978,0.00018072128295898438,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,9.0,14.0
cancer,Random,5511,0.0001895427703857422,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,5.0,15.0
cancer,Random,5864,0.00018334388732910156,4,0.25,0.75,0.1667,0.25,0.25,0.25,4.0,9.0,19.0
cancer,Random,606,0.00018310546875,4,1.0,0.0,0.6667,0.0,0.0,,6.0,18.0,18.0
cancer,Random,1933,0.00018262863159179688,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,8.0,13.0
cancer,Random,6071,0.00018167495727539062,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,11.0
cancer,Random,5504,0.00018215179443359375,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,5.0,13.0
cancer,Random,5163,0.0001819133758544922,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,4.0,14.0
cancer,Random,2406,0.00018215179443359375,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,4.0,10.0
cancer,Random,304,0.00018739700317382812,4,0.25,0.75,0.1667,0.25,0.25,0.25,5.0,9.0,14.0
cancer,Random,3391,0.0001800060272216797,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,9.0,14.0
cancer,Random,359,0.0001838207244873047,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,5.0,10.0
cancer,Random,9096,0.00019741058349609375,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,8.0,18.0
cancer,Random,3533,0.0001819133758544922,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
cancer,Random,4125,0.0001823902130126953,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,17.0
cancer,Random,3094,0.00018095970153808594,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,5.0,15.0
cancer,Random,6398,0.0001850128173828125,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
cancer,MPC,7816,0.00841212272644043,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3578,0.007631778717041016,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,2656,0.004706859588623047,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,2688,0.007582426071166992,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,2494,0.007544994354248047,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,183,0.004698038101196289,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,7977,0.007635354995727539,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3199,0.0046787261962890625,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,316,0.007785320281982422,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,8266,0.007732868194580078,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,1532,0.004652500152587891,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,1009,0.007563352584838867,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,2250,0.0075418949127197266,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,4447,0.007224559783935547,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,2415,0.007552623748779297,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3595,0.007642507553100586,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,4187,0.007544517517089844,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,4135,0.007565736770629883,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,5174,0.007740020751953125,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,5303,0.007630586624145508,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3942,0.008721590042114258,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
cancer,MPC,2778,0.007532596588134766,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,2804,0.004720926284790039,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,2145,0.007623910903930664,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,150,0.007569313049316406,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,8823,0.007548809051513672,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,4669,0.007559299468994141,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,6131,0.0048580169677734375,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,2617,0.007731437683105469,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,7166,0.008640050888061523,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
cancer,MPC,1428,0.007565021514892578,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,8328,0.007550239562988281,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,8289,0.007653951644897461,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,5978,0.004694938659667969,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,5511,0.007563591003417969,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,5864,0.007550477981567383,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,606,0.007579803466796875,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,1933,0.007570028305053711,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,6071,0.005435943603515625,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,5504,0.0046918392181396484,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,5163,0.004711627960205078,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,2406,0.004739522933959961,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,304,0.00753331184387207,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3391,0.007562160491943359,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,359,0.00467371940612793,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,MPC,9096,0.007544517517089844,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3533,0.0075604915618896484,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,4125,0.007546901702880859,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,3094,0.0075740814208984375,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
cancer,MPC,6398,0.004687070846557617,3,0.0,0.75,0.0,0.6667,0.5,0.5714,2.0,1.0,11.0
cancer,NOTEARS-MLP,7816,90.09070897102356,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3578,1.307077169418335,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2656,3.466686487197876,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2688,0.9502434730529785,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,2494,4.36215353012085,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,183,3.2629356384277344,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,7977,3.1172783374786377,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3199,3.4392504692077637,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,316,2.897350549697876,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,8266,1.2749488353729248,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,1532,2.914729118347168,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,1009,4.7989678382873535,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2250,1.0757966041564941,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,4447,3.053464651107788,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2415,1.0982475280761719,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3595,3.173631429672241,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,4187,2.7167510986328125,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,4135,0.8990943431854248,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5174,1.0913164615631104,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5303,1.0100481510162354,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,3942,2.9687421321868896,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2778,2.913727283477783,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2804,2.846220016479492,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2145,3.377495765686035,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,150,4.106881618499756,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,8823,2.7087156772613525,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,4669,3.340607166290283,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,6131,3.588886260986328,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2617,1.1212286949157715,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,7166,4.115357160568237,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,1428,2.686279058456421,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,8328,3.336047410964966,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,8289,2.643397092819214,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5978,1.0245378017425537,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,5511,3.802196502685547,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5864,1.1152758598327637,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,606,3.296152114868164,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,1933,3.1938045024871826,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,6071,1.3584074974060059,3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,11.0
cancer,NOTEARS-MLP,5504,3.230900764465332,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,5163,1.0422348976135254,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,2406,3.947181463241577,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,304,3.1158359050750732,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3391,3.3517112731933594,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,359,3.3598058223724365,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,9096,1.0485165119171143,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
cancer,NOTEARS-MLP,3533,0.7787423133850098,0,0.0,0.0,0.0,,0.0,,4.0,10.0,10.0
cancer,NOTEARS-MLP,4125,3.05531644821167,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,3094,1.2171061038970947,1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,6.0,11.0
cancer,NOTEARS-MLP,6398,1.1340727806091309,2,0.5,0.25,0.1667,0.5,0.25,0.3333,3.0,10.0,10.0
earthquake,Random,7816,0.00019359588623046875,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,3578,0.00018215179443359375,4,0.75,0.25,0.5,0.0,0.0,,7.0,11.0,16.0
earthquake,Random,2656,0.00018167495727539062,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,8.0,13.0
earthquake,Random,2688,0.00018835067749023438,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,2494,0.00019288063049316406,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,3.0,8.0
earthquake,Random,183,0.0001823902130126953,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,7977,0.000186920166015625,4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,10.0
earthquake,Random,3199,0.00018906593322753906,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,316,0.0001850128173828125,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,6.0,6.0
earthquake,Random,8266,0.0001914501190185547,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,8.0,13.0
earthquake,Random,1532,0.00018978118896484375,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,1009,0.00018215179443359375,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,2250,0.00018167495727539062,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,11.0
earthquake,Random,4447,0.0001842975616455078,4,1.0,0.0,0.6667,0.0,0.0,,7.0,11.0,11.0
earthquake,Random,2415,0.0001933574676513672,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,12.0
earthquake,Random,3595,0.0001804828643798828,4,0.75,0.25,0.5,0.25,0.25,0.25,7.0,5.0,10.0
earthquake,Random,4187,0.0001819133758544922,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,16.0
earthquake,Random,4135,0.00018310546875,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,9.0,19.0
earthquake,Random,5174,0.00019049644470214844,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,5303,0.0001957416534423828,4,1.0,0.0,0.6667,0.0,0.0,,8.0,6.0,11.0
earthquake,Random,3942,0.0001842975616455078,4,1.0,0.0,0.6667,0.0,0.0,,8.0,12.0,17.0
earthquake,Random,2778,0.0001800060272216797,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,18.0
earthquake,Random,2804,0.0001933574676513672,4,1.0,0.0,0.6667,0.0,0.0,,8.0,5.0,12.0
earthquake,Random,2145,0.00018739700317382812,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,8.0
earthquake,Random,150,0.0001811981201171875,4,0.75,0.25,0.5,0.0,0.0,,6.0,12.0,17.0
earthquake,Random,8823,0.00019502639770507812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,4669,0.00018405914306640625,4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,10.0
earthquake,Random,6131,0.0001819133758544922,4,0.75,0.25,0.5,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,2617,0.00019860267639160156,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,12.0
earthquake,Random,7166,0.0001850128173828125,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,1428,0.00018858909606933594,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,8.0,13.0
earthquake,Random,8328,0.0001823902130126953,4,1.0,0.0,0.6667,0.0,0.0,,8.0,7.0,16.0
earthquake,Random,8289,0.00019311904907226562,4,0.5,0.5,0.3333,0.25,0.25,0.25,5.0,4.0,14.0
earthquake,Random,5978,0.0001838207244873047,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,10.0,15.0
earthquake,Random,5511,0.00018262863159179688,4,0.5,0.5,0.3333,0.5,0.5,0.5,3.0,6.0,11.0
earthquake,Random,5864,0.00018167495727539062,4,0.25,0.75,0.1667,0.5,0.5,0.5,3.0,1.0,15.0
earthquake,Random,606,0.0001823902130126953,4,0.75,0.25,0.5,0.25,0.25,0.25,5.0,10.0,10.0
earthquake,Random,1933,0.00018167495727539062,4,0.75,0.25,0.5,0.0,0.0,,5.0,10.0,20.0
earthquake,Random,6071,0.00019049644470214844,4,0.25,0.75,0.1667,0.25,0.25,0.25,4.0,9.0,19.0
earthquake,Random,5504,0.00018358230590820312,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,5.0,13.0
earthquake,Random,5163,0.0001862049102783203,4,0.5,0.5,0.3333,0.0,0.0,,6.0,7.0,16.0
earthquake,Random,2406,0.00018358230590820312,4,1.0,0.0,0.6667,0.0,0.0,,7.0,11.0,17.0
earthquake,Random,304,0.00019311904907226562,4,0.5,0.5,0.3333,0.25,0.25,0.25,4.0,9.0,19.0
earthquake,Random,3391,0.00018858909606933594,4,0.5,0.5,0.3333,0.25,0.25,0.25,6.0,5.0,10.0
earthquake,Random,359,0.00018548965454101562,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,Random,9096,0.00019025802612304688,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,3533,0.00019502639770507812,4,0.75,0.25,0.5,0.0,0.0,,7.0,6.0,16.0
earthquake,Random,4125,0.0001895427703857422,4,0.75,0.25,0.5,0.25,0.25,0.25,6.0,4.0,18.0
earthquake,Random,3094,0.00018644332885742188,4,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,6.0,15.0
earthquake,Random,6398,0.00018215179443359375,4,1.0,0.0,0.6667,0.0,0.0,,7.0,12.0,17.0
earthquake,MPC,7816,0.009241104125976562,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3578,0.010076284408569336,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,2656,0.010622978210449219,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,5.0,15.0
earthquake,MPC,2688,0.009131669998168945,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,2494,0.009863138198852539,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,183,1.1979169845581055,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,7977,0.009462356567382812,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,MPC,3199,0.009949684143066406,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,MPC,316,0.009771585464477539,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
